         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.021    0.021 connectionpool.py:1(<module>)
        1    0.000    0.000    0.021    0.021 session.py:1564(__init__)
        1    0.000    0.000    0.021    0.021 session.py:632(__init__)
        2    0.000    0.000    0.021    0.010 load.py:15(<module>)
       11    0.000    0.000    0.021    0.002 core.py:667(compute_output_shape)
       22    0.000    0.000    0.021    0.001 array_ops.py:2777(pad)
        1    0.000    0.000    0.021    0.021 keys.py:15(<module>)
        1    0.000    0.000    0.020    0.020 tpu.py:16(<module>)
     3125    0.003    0.000    0.020    0.000 tf_stack.py:139(extract_stack)
      116    0.006    0.000    0.020    0.000 dataset.py:584(__setitem__)
      390    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
     2155    0.008    0.000    0.020    0.000 training.py:838(_validate_or_infer_batch_size)
        1    0.000    0.000    0.020    0.020 stats_options.py:17(<module>)
        2    0.001    0.001    0.020    0.010 network.py:833(get_config)
     3116    0.012    0.000    0.020    0.000 inspect.py:2750(__init__)
      696    0.002    0.000    0.020    0.000 __init__.py:1325(safe_version)
